,id,message,original,genre,Priority
40,53,people dal blocked since wednesday carrefour water shortage food medical assistance,moun sou dal blok fo mekredi nan kfou fy gen pwoblem dlo manje remed,direct,1
41,54,jacmel working all people dying hunger,n jakmel sa pa mache ditou paske moun yo ap mouri grangou,direct,3
42,56,one everybody dead,nou a gen peson tout moun mouri,direct,3
43,57,talk petit goave please look petit goave,Nou pa janm pale de tigwav otorite yo voye je nou sou tigwav se chausler st jean.,direct,2
44,58,good evening earthquake end,Bonswa eske tanbleman te fini,direct,1
45,60,people fontamara impass area pierre louis lots difficulties please help asap,moun fontamara 27 zon impass pierre louis nan problem. sos.,direct,2
46,61,good evening congratulate good work strenght i m listening matisan water food shortage god provided grace upon us,Bonswa mwen felisite nou pou bon travay sa malgre tou kouraj map kouten matisan 1 nou gen problem mange ak dlo men bondye te fe nou gras,direct,1
47,62,find aid food fontamara carrefour,Koman nou ka jwenn sekou ak manje nan fontamara 43 ru menos cite la bel,direct,1
48,63,listening radio jacmel need help remove dead bodies colege la trinite universite bodies professors students,"Mwen ap koute radyo wa jakmel map pou vini ede nou retire kadav anba dekonb kolj La trinite ki te loje inivsite inasmo, kadav yo se etidyan ak pwofes t",direct,1
49,64,people jacmel requesting tractor area civil unrest social disturbance area,"MOUN JACMEL YO MANDE POU ENSTANS KONSENE YO VOYE YON TRAKTER NAN WOUT JACMEL LA, PASKE GEN ANPIL DEZOD SOU SA A ( MARCELIN JEAN DEPI JACMEL )",direct,1
50,65,im asking general prayer country haiti,MWEN MANDE YON JEN NASYONAL POU PEYI A,direct,2
51,66,kf marotiere food water shortage please send food us,Nou nan kf maroty 85 nou pa gen dlo val anvayi nou voye manje manje pou nou tanpri bay mesaj la,direct,1
52,67,i m listening miraguan asking government take change one gallon gas,MWEN AP KOUTE NOU MIRAGWAN NOU AP MANDE POU RESPONSAB YO PRAN YON DESIZYON NAN MOMAN NOU YE LA A GALON GAZOLINE AP VANN 8O DOLA.,direct,1
53,68,what s up would like know arab doing,Sak pase mwen ta renmen konnen kijan arab la ye,direct,3
54,70,listening radio wa jacmel asking help remove dead bodies la trinite college situated university inasmo dead bodies students teachers,"Mwen ap koute radyo wa jakmel map mande pou vini ede nou retire kadav anba dekonb kolj La trinite ki te loje inivsite inasmo, kadav yo se etidyan ak pwo",direct,1
55,71,transfert house someone abroad go send money haiti,nan Ki mezon transf yon moun ki a letranje ka itilise pou voye lajan pou yon fanmi li ki an ayiti?,direct,2
56,73,information people found rubbles school trinite l ecole sainte trinite jacmel cookies brought colombian dogs keeping alive,"Pou infomasyon juska pwesent genyen moun yo touve aba decon nen lekol latrinite nan jakmel, se chien colombien ki pote bonbon nan bouche yo bay moun sa yo",direct,1
57,74,get help jacmel,Kil nou ka jwenn asistans nan jakml,direct,3
58,78,find help food fontamara rue menos,Koman nou ka jwenn sekou ak manje nan fontamara 43 ru menos nan tet la bel,direct,1
59,79,sos sos please provide police officers streets insecure,EMGENCY EMGENCY SI POLIS LA TE KA BAY PREZANS LI SOU CHAK PLAS AK LARI LI TAP BON PASKE CHAK SWA YO F ANPIL DEGA MENM DETWI LAVI MOUN ENPOTAN,direct,2
60,80,mother water let us know location provided,MLT KK LWE ESKE NOU LA MANMAN NOU PAGEN DLO ANK SILA FL KON,direct,2
61,81,people needing water baby location beach,Gen ampil pwoblem nan kot plaj 24 nou ta renmen jwen dlo gen ti bebe kap soufri nou gen 3 jou konsa,direct,1
62,82,help needed fond parisien idea is haitian tell,san panse pou fonparisyen vin kapital peyia?gerbens,direct,2
63,83,we re asking water medical supply food,"Nap mande tout ganizasyon kap bay d yo, nan kwadbouk pli presizeman nan lokalite nwal, ki pa gen dlo, mange, medikamen depi li seys la pase a.",direct,1
64,84,home gressier almost collapsed would like distroy collapses completly,Kay mwen nan gresi pri tomb mwen ta renmen metel ati avan l tomb,direct,3
65,85,would like know food water distributed location provided,Mwen ta renmen konnen ki kote nou ka jwenn yon ti dlo moun ka bw ak yon ti ed manje pou yon group moun ki grangou. Mesi,direct,2
66,86,happy hear god religious hyme,Mwen tre kontan li mwen tande bondye fe ou la mwen ap diw demi deyi anba pwela pou seren leswa,direct,2
67,88,seven house located betwenn musso juvenat dyobel dyobal sure rest information clear,"Mwen salye nou pou sipo n ak solidarite nap bay pap ayiswen an jodi a. M abite nan yon tizo n ki rele dyobl ant miso ak jivna 7 andan net, koman pou n",direct,1
68,90,pastor interpreter seeking help response teams,I am an interpreter I am really to give my help. So today I was at the airport but I am sorry because there was no way. My name is Gerard Derice. I am pastor.,direct,1
69,91,problem paco lazon general police department want know almost food water,Nou gen pwoblem nan paco la zon Direksyon General Police sove nou paske mange ak dlo nou ap fini et nou bezwen lot swen sante secours SVP!,direct,1
70,92,sainte bernadette areas received anything buying water warm gourdes,nou nan st banadt nan fem nou se2 kote ki pako jwenn anyen nap ht 1sache dlo cho pr 5g andanw,direct,1
71,94,would like communicate family minutes cell phone please help,"Mwen ta renmen kominike ak fanmi mwen, men mwen pagen kat sou telefon mwen",direct,2
72,95,people sleeping outside field lilavois dying hunger since january th,fit des habitants qui dorment a la belle etoile sur le terrain de Lilavois 50 et qui meurent de faim depuis le 12 janvier.,direct,2
73,96,friend dont know going hear going hear news you hear happen carrefour petion ville,"Kamarad, mwen pa konn sak pase ou menn. paske mwen pa pran nouvel ou. Mwen tande sak pase Kafou, Delma ak Petyon Vil. Mwen pa konn si lot kamarad yo vik",direct,2
74,97,i m asking help valley especially santo sath b,"MWEN MANDE POU D YO RIVE NAN PLENN NAN TOU SI TOU NAN SANTO, SATH, B",direct,2
75,99,driver mechanic want help,"MWEN SE YON NMALIEN, CHOF, MEKANISYEN MWEN BEZWEN BAY SEKOU",direct,1
76,100,lot news him even found body could least know dead hospitals need checked registry books also please help us seems end another message,"anpil E nou pa gen oken nouvel li, menm ke a nou pa jwenn o mwen nou ta di li mouri. F yo verifye nan lopital yo, sitou nan kaye rejis yo. Mesi. Ede n svp",direct,2
77,101,big problem jacmel left port au prince without food clothes money really critical situation,"Nou gen gwo pwoblem nan jakmel, espesyalman nan kok chant paske nou siti potopwens san rad, san manje, san kob. nou vrman nan yon siyasyon tre kritik. nou ta",direct,1
78,102,would like receive help section communale lot violence,renmen pou yo ta fe yon bagay pou nou nan seksyon kominal yo. se te Bichet depi kek chant.,direct,1
79,103,would like know food distributed,J aimerais savoir les piste de distribution.,direct,3
80,105,play carnaval anbasad camp think simple comment creole rap group anbasad camp refer location read cry help tk,M ka jwen kanaval anbasad camp lan,direct,1
81,106,cold front found cuba morning could cross haiti tomorrow isolated rain showers expected region tonight,Un front froid se retrouve sur Cuba ce matin. Il pourrait traverser Haiti demain. Des averses de pluie isolee sont encore prevues sur notre region ce soi,direct,1
82,107,ples give us cell cards cell phone minuts cannot find cell phone cards buy,Vou kat pou mwen mesi davance digi pake nou pa ka jenn kat achete.,direct,2
83,108,whoever sees streets wearing white denim skirt printed black t shirt hair cornrow do,AL NENPOT MOUN KI WEL NAN LARI MEN KI KOULE RAD KI SOULI JIP DINN BLANK PASE SOU KOTE JIP LA youn mayo nwa souli ekriti blank pase devan l li penyen tiko,direct,1
84,110,please need help food toiletries,KI KRAZE. TAMPRI NOU BEZWEN ED MANJE AK ATIK POU TWALFT ELATRYE. D,direct,2
85,111,weather forcast cold front cuba could pass haiti night,Un front froid se retrouve sur Cuba ce matin. Il pourrait traverser Haiti demain. Des averses de pluie isolee sont encore prevues sur notre region ce soi,direct,1
86,112,food water mediacation dont tents protect selves using cistern lovation provided,"e, dlo, medikaman, n pa gen tant pou protegenn kont soley ak lapli. Genyen anpil lot fanmi ki afekte m pa konnen effectif la vrman. tanpri si n resevwa me",direct,1
87,113,good people help us god bless us,saj sa ede nou. God bless you and us too.,direct,3
88,114,adjs group house jacmel talking people southeast lot victims people suffering especially jacmel something entire house collapsing road sot pop jacmel cut off,"Gwoup, AJDS kay jakmel, pa dande nou pale d sides ditou, nou viktim anpil, sitou vil jakmel gaya pa ret kay ank kay jakmel rout sot pop, a jakmel la koupe",direct,1
89,115,request aid services forget south east region lot victims people suffering there number given,nap mande poun pa bliye sides la paske nou viktim anpil. 6515O96,direct,1
90,117,people fort mercredi find food water,ki kote mounn fort mercredi ka jwenn dlo ak manje?,direct,1
91,118,im taking guess sorry mix creole french sms message understand whos close mounn fort mercredi food water running low problem people hurt please help us,Ki kote mounn fort mercredi ka jwenn manje ak dlo. paske nou gen anpil pwoblem nan zonn nan. please ede nou.,direct,1
92,119,fort mercredi wednesday find tents treated water,Nous sommes  Fort - Mercredi Ou on peux trouver des tentes et des eaux traites,direct,2
93,120,whos next fort mercredi would like food water please,KI KOTE MOUNN FORT MERCREDI KA JWENN DLO AK MANJE. PLEASE,direct,2
94,121,wounded saint michely hospital medicine this looks like part message got cut off,"kiblese yo, nan lakou lopital saint michel yo pagen medikaman, yap m",direct,1
95,122,people we re martissant village dantes god bless you,"onn effectif la pou zonn nan men nou ka anviron 500. Tanpri eden nou nan martisan 23, village dantes. God bless you and us.",direct,2
96,123,digicel let go through emergency,D. igicel kitem pase se yon urgeence,direct,2
97,124,find capital bank please,ki adres nou ka jwenn kapital bank silvouple,direct,1
98,125,plaine du cul de sac where s nearest food distribution,Nou laplan di kildesak ki ba yap bay dlo ak manje.,direct,1
99,126,listening radio dabon need help doctors area unable move around gas dabon located close leogane,"Map koute radyo Dabon, map made s. o. s poun ka jwenn dokt nan zon sa yo paske mwayen deplasman difisil paske pa gen gaz.",direct,1
100,127,message might saying stuck presidential palace pal since tuesday quake need water message says finding little water names number people given,Bonjou nou nan paldela depi madi menm yon ti dlo nou pa jwenn,direct,1
101,128,live la plaine wife pregnant got injured falling blocks cannot walk found anyone help us area called moya,Mwen la plan madan m ansent m pa gen lajan blok frapel li paka mache nou pajwen n yon moun ki pase we nou mwen nan zon moya,direct,2
102,129,imcomprehensibley member repatriated incomprehensible location duvivier fond grango,"asyon de 9 manb nou nan rapatriye zon la plan divivye fontan, grango",direct,1
103,130,urgent action needed this follow previous sms regards possible delivery possible deliver baby country matter is,sible de faciliter mon accouchement dans un autre pays n importe lequel,direct,1
104,131,please add airtime phone thanks,mete kat sou telefon mwen. Mesi,direct,3
105,132,dire need food water temporary shelter need know get supplies located frere boukan la plaine,Nou pa gen manje Dlo ak abri pwovizwa nou bezyen konnen ki kote nap jwen n adres nou se wout de fr boukan lapli.,direct,1
106,133,road damaged gas would like find motocycle costs go port au prince one money,Wout la koupe pa gen gaz siw ta jwen yon moto potew metew pop se 5OO epi moun yo pa gen mwayen nan men yo.,direct,1
107,134,woul like know aide available pap provinces badly hit well,Sivouple mwen tarenmen konnen eske ed yo sepou selman potoprens yo ye?paske andey yo fwape tou,direct,2
108,135,factory fire road airport near sogebank starting burn several nearby houses documents left them please come help us,Nou gen yon faktori ki pran dif sou wout aerop a b sogebank la li komanse boule tout dokiman ki te rete nan plizy kay yo. tanpri vinn di nou.,direct,2
109,136,good morning radio one lot victims fonds verettes one speak us,Bonjou RADIO ONE kom nou gen anpil moun Fon vrt ki viktim men ou konnen se Majistra a ki ta pou f vwa pap la pase men li pat konn abitye fe sa men ant,direct,1
110,137,contact post radio station us w representatives assistance f v r t,ouka staf radio a sa nan men nou paske nou pagen reprezantan ditou nan F. vrt.,direct,1
111,138,would like know radio announcers alive,Louko mta renmen konnen si tout animat radyo 1 yo vivan,direct,2
112,139,cold front cuba morning could cross haiti tomorrow isolated rain showers expected region,Un front froid se retrouve sur Cuba ce matin. Il pourrait traverser Haiti demain. Des averses de pluie isolee sont encore prevues sur notre region ce soi,direct,1
113,140,area area many victims help,ZONE SA PASKE NOU FE PATI ZONE KI PLIS VIKTIM YO E NOU PA JWEN ED A,direct,2
114,141,petion ville b incomprehensible water nothing money given petion ville where,"Mwen petion ville nan bte, nou pa gen dlo, pa gen anyen, pa gen lajan. Kisa kap bay nan petion ville la e ki kote?",direct,1
115,143,city i m near port au prince m titanyen,Vil ki pi pwoch mwen se pa o prens. mwen titanyen.,direct,2
116,144,group police found kid road st anne please send rescue,Nou se yon gwoup polisye gen yon ti moun ki vivan nan ri di sant bo legliz st anne voye sekou pou li,direct,1
117,146,dans la zone de saint etienne la route de jacmel est bloqu il est trsdifficile de se rendre jacmel,Nan zon st. etine rout jakmel la bloke se mize pr nou al jakmel,direct,2
118,147,hungry streets robbed currently vivi mitchell route freres,"NOU GRANGOU, NOU NAN LA RI. VL VIN SOU NOU. ROUTE FRERE, VIVI MITC",direct,2
119,149,please bo gravel vob ta hungry need food,SVP BO GRAVEL VOB TAA 41 NOU GRANGOU,direct,1
120,150,go water today,kibo yap bay d jodia nan santvil la,direct,2
121,151,know rue du muguet route de desprez another location airport road,"Mwen pa konnen rue du muguet, route de desprez 7 la. eske pa gen yon lot adres sou wout aeroport la.",direct,1
122,152,live la pleine since tuesday we ve sleeping street hunger killing us,"NOU ABITE LAPLN, DEPI MADI A SE NAN LARI NAP DOMI GRANGOU AP TIYE",direct,2
123,153,live la plaine we ve sleeping streets since tuesday house destroyed dying thirst hunger can t take anymore we d like know help coming,"Nou abite laplan depi madi a se nan lari nap demi, kay nou kraze, grangou ak swaf ap tiye nou, nou pa kapab ank, Nou ta renmen konnen kil d yo ap komanse",direct,2
124,154,lapleine precise location carrefour marin,"nan laplan, presi zeman nan marin. Mesi",direct,1
125,155,there s fire perpetuel secours church please send firefighters,"Legliz Perptuel sou bl fok pran dife, voye ponpie pou zon bl.",direct,2
126,156,anse pitree house delmas destroyed everything inside went back hometown anse pitrea would like know get help absolutely nothing,MWen se moun ans a pitre men mwen gen kay delmas 32 ki kraze ak tout afm mwen ale nan peyim koman poum fe poum jwenn ed paskem pa gen anyen nan menm.,direct,1
127,157,need food medicine lilovois monarque,F nou d manje e medikaman nou nan lilovois 47 Monarque P.,direct,1
128,159,located one place want know lot available spaces put tent shelters reason station front house safety thief see,ske se pa yon sel kote nou ye epi map fe nou konnen zon gen espas pou konstri anpil tant se pou sa nou tann dra devan lakay nou paske vole lague ou ka re,direct,1
129,160,food water santo distributing food water everywhere need,"Nou gen pwoblem manje nan santo 15 ak dlo, tout kote yap fe distribisyon manje ak dlo eske nou pa sinistre tou",direct,1
130,161,galet hungry tabarre little american embassy,NOU NAN GALET NOUGRAN GOUT TABA 41 PIWO ANBASAD,direct,2
131,162,commitee santo nameajeans youth association action new society founded september president is,"nou gen yon komite nan santo 15 ki pote non ( ajeans : association des jeunes en action pour une nouvelle societe ) ki fome nan mwa septanb 2009, prezidan se",direct,1
132,163,lot criminals jacmel city asking police come there,genyen anpil bandi ki lage nan vil jakmel nap mande pou p. n. h fe travay li,direct,2
133,164,dying hunger petion ville,"Nou steel pa ka jwenn manje petion ville nan bte, nap mouri wi.",direct,1
134,165,i m exactly akay area name toman miles near kabar location name kafou lachomy,Mwen egzateman akay nan yon zon yo rele toman km 43 vil ki tou prm nan se kabari nan yon katye yo rele kafou lachomy,direct,1
135,166,time american embassy open tomorrow,A kile ambassade americain ap ouve demain?,direct,1
136,167,construction firm south african let us recruited civilians architects stockholders wondering needs moment,"Ns sommes une firme de construction S. A Nous recrutons 4 ingnieurs civils, 2 architectes et 2 nouveaux actionnaires pr repondre aux besoins du moment.",direct,2
137,170,done jacmel many people trapped underneath rubbles college latriniti help,Ki sakaft pou jakmel nou gen anpil moun nan kolj latrinite ki anba dekomb yo,direct,2
138,171,people enter houses electricity,Eske moun ka rantre lakay yo? Kila pa la ka jwenn kouran?,direct,2
139,172,need kinds help bon repos route ona vile people really need help,Et aussi on a besoin de l aide de toute sorte du cote de BON REPOS route ONA VILE ou les gens veulent vraiment qu on les aident,direct,1
140,173,area muguet street please city petion ville,NAN KI BLOK RI MUGUET LA YE SVP ESKE SE LAVIL OU PETIONVIL,direct,1
141,174,please call write us need information need help like beeing translators food distributors services else us th,"Please, call or write us if you need more information or if you need our help like beeing translators, food distributors or any services else from us. Th",direct,2
142,175,true political city held hinche,est-ce vrai?la ville politique du pays sera hinche,direct,2
143,176,field would need speak creole french half english mw,"NAN KI DOMAN WAP BEZWENM MWEN PALE KREYL, FRANS, MWATYE ANGL, MW",direct,2
144,177,unrecognized characterse initial formation accelerated organized menfp financed bid launched truncated,A fmasyon inisyal akselere GANIZE PA MENFP FINAN PA BID LANSE NA,direct,2
145,178,continues previous truncated message regarding education,N KAD EDIKASYON POU T0U MOUN.,direct,2
146,181,bizoton desperately needs help humiliated,Bizoton pa okenn ankadreman nou imilye,direct,3
147,182,find car leave in,ki kote map ka jwenn machin pou ale nan n?,direct,2
148,183,hello good morning live delmas without water without food finished please something us,"Alo bonjou nou trouve nan delmas 31 prolonge san dlo, san manje resv nou yo fini mezanmi fe you bagay pou nou !",direct,2
149,184,carrefour feuille extended need help waiting,Carrefour feuille prolonje haid secour je vous attendre merci,direct,2
150,185,carrefour street near edh electricity haiti help us please,MWEN NAN KOMIN KAFOU NAN ROUT BO EDH EDE NOU SOUPLE,direct,2
151,187,everyone forget people merger water hungry rains die,Mezanmi pa bli mounn merger yo nou pa gen dlo nou grangou si la pli vini nou tout ap moui,direct,1
152,190,digicel problem family know am can t call please help,"DIGICEL MWEN GEN PROBLEM, FANMIM PA KONN KOTEM WE MWEN PA K RELE SVP EDEM",direct,2
153,191,please send humanitarian aid survive delmas b village musso golf course thank,Svp. Voye ed imaniti pou nou ka suviv. nou nan delma 40 b vilaj muso sou teren glf la. Mesi.,direct,1
154,193,good evening carrefour feuill we dying hunger ther water pleas help us,Bonswa nou sou taren kanpch kafou fy anl sen gera nap mouri ak grangou pa gen dlo tanpri ede nou,direct,1
155,194,people village god need food water stay university kiskeya area delams right main delmas road pleas respond,"Tanpri moun ki nan vilaj de Dye bezwen manje ak dlo trete epi tant pou yo kapab rete, se nan inivsite kiskeya tout pap la ye, tanpri reponn avek demand",direct,1
156,195,someone visa travel out do,Eske yon moun ki gen visa ka pati nan moman sa kisal ka f.,direct,2
157,197,alot victimes arrived ath marchand desalin nan ranboto hospital enough supplys specialist surgeons would like looked,"Gen anpil viktim ki rive nan lopital Machan Desalin ak nan raboto Gonayiv. nan lopital sa yo, pa gen ase swen e manke dokt spesyalis. Mta renmen yo panch",direct,1
158,198,help us delmas orchidee street thirsty thanks,Aide mous a delmas 65 rue orchidye nous avons soif. Merci,direct,2
159,199,want people know people port au prince came cap haitian food eat cap haitien north km port au prince,te potopwens ki vini okap ayisyen san yo pa genyen anyen pou yo man,direct,1
160,200,st marc came save lives,"en nan st mak, ki jis vini pou sove vi yo.",direct,3
161,201,talk earthquake please,Parle-moi un peu du seisme svp!,direct,2
162,202,port au prince food need goverment aid international aid thak you god bless haiti,"p bay pap la syen ak manje. Yo bezwen ed gouvenman an ak d entenasyonal. Mesi, BonDye beni Ayiti.",direct,1
163,202,port au prince food need goverment aid international aid thak you god bless haiti,"p bay pap la syen ak manje. Yo bezwen ed gouvenman an ak d entenasyonal. Mesi, BonDye beni Ayiti.",direct,1
164,204,liancourt province artibonit recieved alot victimes pap different condition serious not pleas send help people,MWEN LYANKOU YON PWOVENS NAN LATIBONIT NOU RESEVWA ANPIL VICTIM PAMI YO GEN BON GEN MOVE JE POU SA NOU BEZWEN SEKIRITE AVEK ED ALIMANTE POU NOU KA PI BY,direct,1
165,205,hello live la plaine close route national carrefour vencent bary zone need food water tents etc,"Bonjou, nou abite nan la plaine zon wout nasyonal #1, antre kafou vensan zon bary f. Silvoupl nou gen bezwen manje, dlo potab, tant etc. .. Nou fme yo",direct,1
166,206,leogane mathieu abitation rd communal section grand riviere waiting,Nou nan leogann abitasiyon matye 3me seksiyon gran riviye nan tann ed nou,direct,1
167,207,top fontamara area carrefour top hill named label unrecognized characters get assistance water food tents medicine,"Moun nan tet fontamara 43 nan tet mon labela pa jwen anken asistans : dlo, nouriti tant, medicaman.",direct,1
168,208,medicine distributed departments counties hospital,"D MEDIKAMAN YO TA DWE DITRIBYE NAN CHAK DEPATMAN YO, PASKE LOPITAL",direct,1
169,209,one thing asking money tranfer offices open get money sent us,Yon sel bagay map mande biwo transf yo pou yo ouvo pou nou ka jwenn ti kob yo voye pou nou,direct,2
170,210,please nazon sylvio cator street need water food truncated,"S. V. P, Nou nan Nazon rue sylvio cator nou bezwen dlo, nouriti ak lot",direct,1
171,211,good morning everyone listening miami countries helping wife five kids starve death haiti get help please help them god bless you,Bonjou from yo kap kout miami ninpot lot peyi mwen gen madanm avek 5 pitit nap mouri grangou an haiti voye ti d pou nou silvoupl bondie va beniw m,direct,2
172,212,delmas need food water clothes house destroyed,NOU NAN DELMAS 95 JAK TOTO NOU PA JWENN MANJE DLO RAD KAY NOU KRAZ,direct,1
173,213,good afternoon group bon repo loubens street need help every sense word nobody thinking us please something us bye,bonswa nou se yon ekip nan bonrepo rue loubens e nanbz nou bezwen ed nan tout sans paske nou pa gen peson pou panse ave nou sivouple fe yon gan pou bye,direct,1
174,214,please help us primati malgro gave stuff get any like fight get something hungry thirsty suffering please help us,Tanpri ede nou kote nou ye se nan primati malgr yo bay yon bagay nou pa jwen paske se goumen wap goumen nou grangou pa gen dlo nap soufri tanpri pote no,direct,2
175,215,know internet service croix des bouquets falaise street important would open wireless zones everyone laptops,Mwen konnen yon enternet ki ouvri kwadebouke ri falez. Men pi enpotan c ta ouvri de zonn wireless pou tout moun ki gen laptop yo,direct,1
176,216,there s group people rubles village solidarite,"Gen yon pati moun ki sou dekonb nan vilaj solidarite, antre hai",direct,2
177,217,delmas problem water,Mwen nan delmas m gen pwoblem dlo,direct,2
178,218,send minutes phone,Voye yon kek minit telefon pou mwen,direct,2
179,219,lycee philippe guerrier les cayes leave port au prince bad odor conditions life capital need help please,Nou lokalize nou nan lyce Philippe Guerrier aux Cayes nou te oblije kite p-au-p akoz move lodi ak mal lavi kap 2gaje nan kapital la. Nou bezwen kek ti d souple,direct,1
180,220,watch out warning bad foul smell coming well lingering area near church god near yard woolio nway s house,ATANSYON! BEZWEN AN IJANS NAN YON SANT KI NAN KRISWA RU AKASYA PWOLONJE ZON LEGLIZ DE DYE BOULA NAN LAKOU KAY MET WOOLIO NWAY.,direct,2
181,221,live st louis problems take place problems port au prince thank help,"MWEN RETE SEN-LWI DINO MWEN NAN DIFIKILTE NAN TOUT SEVIS, SVP METEM ALEZ PASKE MWEN NAN PROBLEM PORT-AU-PRINCE LAN TOU. MESI P0U SEVIS OU",direct,1
182,222,many people badly wounded go eat,Gen ampil moun blese grav ki oblije ale en pwovens ki pa ka manje se nan kominn laviktwa,direct,3
183,223,noone come visit us delmas a need food water,Pa janm gen moun ki vizite nou delma. A1 NOU BESOIN MANGE AK DLO,direct,2
184,224,go delmas near goldstar painson s yard need help,Delma a1 trouvel nan antre bo goldstar nan lakou painson s. a tanpri pran ka nou,direct,2
185,225,jean rabel nothing eat please come us port au prince lost everything,Nou nan jan rabel nou pagen anyen pou nou manje tanpri pase we paske nou te port au prans nou pa sove anyen,direct,2
